,mean_x,mean_y,rms_x,rms_y,var_x,var_y,std_x,std_y,min_abs_x,min_abs_y,max_abs_x,max_abs_y,p2p_x,p2p_y,impulse_factor_x,impulse_factor_y
0,0.006362641656897223,0.0016709652207893687,0.40334366071154015,0.4549349128304785,0.1626456254273319,0.20696298278730593,0.4032934730780203,0.4549318441121768,0.0,0.0,1.511,2.045,2.884,3.703,4.67535440154384,5.691577410990846
1,-0.009,0.0066912856584603365,0.39070417535233626,0.4588147799980574,0.15256875263774913,0.21046622904090273,0.3906005026081625,0.4587659850521862,0.0,0.0,1.446,1.685,2.745,3.222,4.632474395231711,4.629901247585415
2,-0.006219617037905432,-0.008295427901524034,0.39187220584416194,0.49146949305382026,0.153525142077071,0.24147344847850977,0.3918228452720323,0.4913994795260876,0.0,0.001,1.505,2.161,2.8179999999999996,4.033,4.849385909023372,5.5638830477608625
3,-0.005819460726846425,-0.0017506838608831584,0.41581874489364207,0.4747157237405871,0.17287136248177248,0.2253519534725687,0.4157780206814358,0.4747124955934578,0.001,0.0,1.508,2.033,2.984,3.67,4.534994570658995,5.346733962717906
4,-0.002016412661195781,0.006630715123094959,0.38670066821707344,0.5116641003839602,0.14953334087951084,0.2617561852386836,0.3866954109884301,0.5116211344722612,0.001,0.0,1.334,1.967,2.559,3.657,4.291389579598681,4.8068338735214855
5,0.010726455646737009,0.00019226260257913246,0.40133085996934725,0.5019729678900846,0.16095140231299443,0.25197682352747147,0.4011874902249501,0.5019729310704627,0.0,0.001,1.425,1.888,2.754,3.599,4.4214146538418175,4.72727842007624
6,-0.011320046893317703,-0.016109808518952714,0.4407685683353072,0.5172413883004765,0.19414878737068947,0.26727912784048696,0.4406231807005726,0.5169904523687908,0.0,0.001,1.67,1.723,3.105,3.442,4.771215487501255,4.2062034760758635
7,0.011481828839390387,0.0073626416568972255,0.4191177749289932,0.5303680949483263,0.1755278768679332,0.28123610764694895,0.41896047172487905,0.5303169878920992,0.0,0.0,1.466,1.82,2.835,3.452,4.433404869839799,4.343310849184611
8,-0.008637358343102773,0.006381008206330598,0.4019437644268482,0.5226988949847593,0.16148418580247845,0.27317341755255914,0.40185094973444874,0.5226599444692114,0.0,0.0,1.518,2.095,2.826,4.136,4.732843791234297,5.038087988610254
9,-0.0009456819069949199,0.0021211410707307537,0.3961643431604055,0.5356336235371529,0.1569452924774463,0.28689887942409853,0.39616321444254043,0.5356294235981613,0.0,0.0,1.506,1.785,2.8819999999999997,3.492,4.763431184722823,4.181985058502553
