,0
0,0.06246480671244958
1,0.06254049705186115
2,0.06261627457932531
3,0.0626921393842959
4,0.06276809155629189
5,0.06284413118489722
6,0.062920258359761
7,0.06299647317059727
8,0.06307277570718517
9,0.06314916605936874
10,0.06322564431705709
11,0.06330221057022423
12,0.06337886490890902
13,0.06345560742321538
14,0.06353243820331195
15,0.06360935733943231
16,0.0636863649218749
17,0.06376346104100289
18,0.06384064578724431
19,0.06391791925109186
20,0.0639952815231031
21,0.0640727326939002
22,0.06415027285417005
23,0.06422790209466427
24,0.064305620506199
25,0.06438342817965512
26,0.06446132520597798
27,0.0645393116761776
28,0.0646173876813285
29,0.06469555331256965
30,0.06477380866110462
31,0.06485215381820132
32,0.06493058887519218
33,0.06500911392347403
34,0.06508772905450799
35,0.06516643435981967
36,0.06524522993099886
37,0.06532411585969977
38,0.06540309223764078
39,0.06548215915660453
40,0.06556131670843794
41,0.06564056498505202
42,0.06571990407842199
43,0.06579933408058712
44,0.06587885508365086
45,0.06595846717978071
46,0.06603817046120812
47,0.06611796502022865
48,0.0661978509492017
49,0.06627782834055077
50,0.06635789728676318
51,0.06643805788039008
52,0.06651831021404658
53,0.06659865438041149
54,0.06667909047222752
55,0.066759618582301
56,0.06684023880350211
57,0.06692095122876461
58,0.06700175595108596
59,0.06708265306352726
60,0.06716364265921308
61,0.06724472483133169
62,0.06732589967313482
63,0.06740716727793761
64,0.06748852773911877
65,0.0675699811501203
66,0.06765152760444769
67,0.06773316719566971
68,0.06781490001741841
69,0.06789672616338922
70,0.06797864572734062
71,0.06806065880309452
72,0.06814276548453577
73,0.06822496586561247
74,0.06830726004033581
75,0.06838964810277996
76,0.06847213014708221
77,0.06855470626744267
78,0.06863737655812449
79,0.06872014111345376
80,0.06880300002781928
81,0.06888595339567283
82,0.06896900131152883
83,0.06905214386996453
84,0.06913538116561989
85,0.06921871329319745
86,0.06930214034746246
87,0.06938566242324265
88,0.0694692796154284
89,0.06955299201897247
90,0.06963679972889018
91,0.06972070284025926
92,0.06980470144821971
93,0.06988879564797396
94,0.06997298553478665
95,0.07005727120398475
96,0.07014165275095739
97,0.07022613027115583
98,0.07031070386009353
99,0.07039537361334587
100,0.07048013962655045
101,0.07056500199540666
102,0.07064996081567596
103,0.07073501618318172
104,0.070820168193809
105,0.07090541694350486
106,0.07099076252827792
107,0.07107620504419866
108,0.07116174458739921
109,0.07124738125407322
110,0.071333115140476
111,0.07141894634292431
112,0.07150487495779646
113,0.0715909010815322
114,0.07167702481063251
115,0.07176324624165989
116,0.071849565471238
117,0.07193598259605179
118,0.07202249771284734
119,0.07210911091843192
120,0.07219582230967389
121,0.07228263198350258
122,0.07236954003690839
123,0.07245654656694253
124,0.07254365167071723
125,0.0726308554454055
126,0.07271815798824109
127,0.07280555939651853
128,0.07289305976759299
129,0.07298065919888029
130,0.07306835778785684
131,0.07315615563205946
132,0.07324405282908562
133,0.073332049476593
134,0.07342014567229979
135,0.0735083415139844
136,0.07359663709948551
137,0.07368503252670205
138,0.07377352789359296
139,0.07386212329817739
140,0.07395081883853444
141,0.07403961461280321
142,0.07412851071918278
143,0.07421750725593192
144,0.07430660432136939
145,0.07439580201387355
146,0.07448510043188254
147,0.07457449967389411
148,0.07466399983846553
149,0.07475360102421366
150,0.07484330332981473
151,0.07493310685400444
152,0.07502301169557778
153,0.07511301795338904
154,0.07520312572635174
155,0.07529333511343848
156,0.07538364621368109
157,0.07547405912617028
158,0.07556457395005581
159,0.07565519078454641
160,0.07574590972890953
