,Signal,Time,mse_X,mse_Y,rms_X,rms_Y,crest_factor_X,crest_factor_Y,max_abs_value_X,max_abs_value_Y,min_abs_value_X,min_abs_value_Y,mean_X,mean_Y,median_X,median_Y,mode_X,mode_Y,variance_X,variance_Y,standard_deviations_X,standard_deviations_Y,p2p_X,p2p_Y,Entropy_X,Entropy_Y,Skewness_X,Skewness_Y,kurtosis_X,kurtosis_Y,wave_factor_X,wave_factor_Y,peak_factor_X,peak_factor_Y,Change_coefficient_X,Change_coefficient_Y,skewness_coefficent_X,skewness_coefficent_Y,kurtosis_coefficent_X,kurtosis_coefficent_Y,Clearance_factor_X,Clearance_factor_Y,Impulse_factor_X,Impulse_factor_Y
0,signal1,0.0,0.3155624255568588,0.18998876826885447,0.5617494330721294,0.4358770104844421,3.5781077499403775,3.650112214525221,2.01,1.591,-1.7630000000000001,-1.569,0.0032508792497069152,-0.0018249316139116857,0.002,-0.006999999999999999,0.496,0.2,0.3156752161593134,0.19005970897942273,0.5618498163738361,0.43595837987062797,3.7729999999999997,3.16,10.326641595821892,10.145793191327057,-0.0039318682043770785,0.0023396236910184424,2.869190418473959,2.9640087415140433,0.6999521073776651,0.5448263682818583,6.369579636907161,8.374179244893911,0.005787159711802963,-0.004186840703082542,0.013429804750056824,-0.01022097181201885,2.869300349503738,2.9640747371049674,6.369579636907161,8.374179244893911,4.458400689963031,4.5624736653368645
1,signal2,10.0,0.2864496217272371,0.17728290855803003,0.5352098856777938,0.42104976969240826,3.5780355543598183,3.9567768941355124,1.725,1.666,-1.915,-1.5090000000000001,0.005666275889019131,-0.0009140289175459159,0.01,-0.012,0.14300000000000002,-0.127,0.2865294843626306,0.17735137806347256,0.5352844891855457,0.42113106993366395,3.64,3.175,10.315915136442632,10.080053053836018,-0.02609775302794567,0.07724870021848253,2.914392734812612,3.14940224832332,0.6678284931816347,0.530292661744025,6.0220013194591635,9.397408997577834,0.010587609869304017,-0.0021708385493478108,0.005666263424380958,0.07073617434027585,2.913960080964832,3.1487597457602776,6.0220013194591635,9.397408997577834,4.021664067112229,4.9833770308228
2,signal3,20.0,0.28222259398202487,0.18102679054318055,0.5312462649111285,0.4254724321776683,3.5783780998780594,3.7229204061299916,1.776,1.584,-1.901,-1.3530000000000002,0.004116451738960531,-0.0019613130128956617,0.002,0.008,-0.114,-0.171,0.28231597157833493,0.18109371116887715,0.5313341430572055,0.4255510676392167,3.677,2.9370000000000003,10.292738652693787,10.115958453775361,-0.004589750016624964,-0.024687198974901875,3.032537852217678,2.9406880123099084,0.6691531419846115,0.5342178663231654,6.292905096439996,8.750086079784785,0.007748902149860083,-0.004609778926821901,0.018657421719539557,-0.038516633713454845,3.0327558666352297,2.9412707232503896,6.292905096439996,8.750086079784785,4.210917217493798,4.674452315686658
3,signal4,30.0,0.30795818874560377,0.198532085971082,0.5549398064165192,0.4455693952361203,3.441814730022121,3.590910904354445,1.8780000000000001,1.6,-1.91,-1.348,-0.001797186400937868,-0.0007151230949589705,0.008,0.002,0.193,-0.057,0.308075347826327,0.19860918660075663,0.5550453565487482,0.44565590605393823,3.7880000000000003,2.9480000000000004,10.329127918907872,10.14143346422219,-0.08029548432406965,-0.007507249413755345,3.042282739652099,2.886542808225213,0.7008168155483134,0.5558232896225305,6.098230437221356,8.059150701882288,-0.0032385419188110886,-0.0016049666419045907,-0.09001114404682833,-0.012322153473731614,3.0433858298521472,2.8866064592789162,6.098230437221356,8.059150701882288,4.27374243549327,4.479463654683938
4,signal5,40.0,0.32111118874560457,0.17967304415787383,0.5666667351676862,0.4238785724212464,3.118234917172463,3.2391351894889517,1.767,1.3730000000000002,-1.66,-1.344,-0.0023767096522079043,0.010051582649472441,0.006999999999999999,-0.001,-0.273,-0.318,0.3212310699186456,0.17964221000433525,0.566772502789828,0.42384219941428114,3.4269999999999996,2.7170000000000005,10.350398527248025,10.136848413337173,-0.03497219965408635,0.08048695723225305,2.8150713610519342,2.965273092743188,0.7073725199198411,0.5297030652003097,5.502766835695279,7.641658248933448,-0.004194229887930607,0.023720024117631026,-0.04755496310094273,0.15166037540870275,2.815763636527662,2.976285856838118,5.502766835695279,7.641658248933448,3.8925060430970997,4.0478097976732785
5,signal6,50.0,0.2961727846815169,0.187252534193044,0.5442175894635499,0.4327268586453168,3.417750613010235,3.3739528084081427,1.8519999999999999,1.46,-1.86,-1.3459999999999999,-0.0005744431418522866,-0.005319656115670185,-0.006999999999999999,-0.006999999999999999,0.017,-0.33299999999999996,0.2962882375170368,0.18729742709980313,0.5443236514400571,0.4327787276424329,3.7119999999999997,2.806,10.284710790689466,10.099250248117832,0.025448807639355146,0.06490301616591529,3.107985319338444,2.874727837899979,0.6890958052690547,0.5405043139572776,6.253106618123297,7.796957228332324,-0.0010555400504981965,-0.012294263747056906,0.022282186311815184,0.028018366660043696,3.107884555385683,2.872443015077588,6.253106618123297,7.796957228332324,4.308989540448929,4.214289017653999
6,signal7,60.0,0.27960172450175896,0.2018536342321215,0.5287737933197512,0.4492812417986327,3.5440485585237513,3.6814356935501014,1.874,1.585,-1.625,-1.6540000000000001,0.015648690894880846,0.0002751074638530732,0.01,-0.002,-0.21100000000000002,-0.21600000000000003,0.2794660520614215,0.20193246924329392,0.5286454880744008,0.4493689678240965,3.499,3.239,10.293112768522251,10.17804245443266,0.035651400507303935,-0.04103596111507653,2.997893428037744,2.9219472342060255,0.6665326582000195,0.5615750283753617,6.702390707136754,7.852224241736118,0.02960726937747461,0.0006123280694446315,0.12449916208783372,-0.03919897667715279,3.0073759013224195,2.9218489739967652,6.702390707136754,7.852224241736118,4.467362294322969,4.409613051362664
7,signal8,70.0,0.292139992575225,0.19151998905822568,0.5404997618641705,0.4376299681902802,3.5800200786883463,4.515230088495313,1.889,1.501,-1.935,-1.976,-0.0011766314966783953,-0.0006346228995701453,-0.013000000000000001,-0.005,-0.154,-0.039,0.29225281398067326,0.19159445714324108,0.5406041194632846,0.4377150410292535,3.824,3.477,10.304285136816812,10.123181600192959,0.031189351988894692,-0.025625743661407602,3.1088796301740165,3.1620213439831844,0.6808574453532623,0.5514706103425842,6.466078072188591,7.837302035056339,-0.002176937656140874,-0.001450137360263204,0.02465852870383929,-0.02997615879168876,3.1086364754425793,3.162182604770865,6.466078072188591,7.837302035056339,4.402477397685071,4.322041736711696
8,signal9,80.0,0.32090583743649864,0.2017009757717858,0.5664855138805392,0.44911131779524976,3.708832703607422,3.81419913532653,2.101,1.575,-2.021,-1.713,0.00880343884329815,0.007079718640093787,0.017,0.003,0.084,-0.40299999999999997,0.3209537584557237,0.20172968480742706,0.5665278090753566,0.4491432787067252,4.122,3.2880000000000003,10.350742639995675,10.138956503407881,0.019750289936241547,0.0886930951567594,3.2167648472459875,3.1430268073483405,0.7139648076759221,0.5648267414439313,6.547091872131336,7.8085888973687005,0.015542325195871141,0.01576579830813549,0.06638101998811671,0.13599440883424133,3.219442150549637,3.150111501306619,6.547091872131336,7.8085888973687005,4.674393189322842,4.410499822176024
9,signal10,90.0,0.28469028448612793,0.20562293474013263,0.533563758595098,0.45345665144546354,3.2573426736783015,3.6166632351124304,1.7380000000000002,1.64,-1.66,-1.585,9.769441187963712e-05,0.0033051973427119887,-0.002,0.0,0.10099999999999999,-0.149,0.28480156902908405,0.20569239039909165,0.533668032609303,0.4535332296525709,3.398,3.2249999999999996,10.317142084118446,10.150128596052685,0.00031756002385700355,-0.021949066654379925,3.1524240505728858,3.07094604241274,0.6775263822600516,0.5728375424302656,6.10487991586059,7.975763997691409,0.0001830979183714932,0.007289087357942705,0.0008668537851097024,-8.141730554927864e-05,3.152424484300293,3.0706248753456067,6.10487991586059,7.975763997691409,4.136217203525074,4.568817047441337
